,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Victoria Point,AU,-27.5833,153.3,22.88,76,69,2.24,light rain
118,Haines Junction,CA,60.7522,-137.5108,-3.03,43,92,2.06,overcast clouds
119,Inuvik,CA,68.3499,-133.7218,-21.52,81,0,3.6,clear sky
120,Nardaran,AZ,40.5561,50.0056,13.8,58,0,10.29,clear sky
121,Hovd,MN,48.0056,91.6419,2.45,28,6,2.32,clear sky
122,Lasa,IT,46.6166,10.7002,11.72,93,98,1.92,overcast clouds
123,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,25.02,85,49,3.23,scattered clouds
124,North Bend,US,43.4065,-124.2243,3.81,99,20,3.6,few clouds
125,Avarua,CK,-21.2078,-159.775,25.03,94,51,0.51,broken clouds
126,Lebu,CL,-37.6167,-73.65,11.14,88,85,4.17,overcast clouds
127,Kuminskiy,RU,58.6667,66.5667,12.76,91,100,3.63,overcast clouds
128,Bathsheba,BB,13.2167,-59.5167,26.34,78,40,8.23,scattered clouds
129,Laela,TZ,-8.5667,32.05,19.89,80,99,2.46,overcast clouds
130,Sao Joao Da Barra,BR,-21.6403,-41.0511,22.86,91,100,7.71,moderate rain
131,Collie,AU,-33.3667,116.15,26.75,35,0,3.05,clear sky
132,Laguna,US,38.421,-121.4238,13.08,93,100,3.6,overcast clouds
133,Asau,RO,46.4333,26.4,8.51,46,26,1.5,scattered clouds
134,Victoria,HK,22.2855,114.1577,28.03,66,6,5.81,clear sky
135,Tarpon Springs,US,28.1461,-82.7568,22.34,92,0,0.45,clear sky
136,Padang,ID,-0.9492,100.3543,30.5,65,67,3.32,broken clouds
137,Kondinskoye,RU,59.6481,67.41,5.96,100,100,3.93,overcast clouds
138,Athens,GR,37.9795,23.7162,19.1,40,0,5.66,clear sky
139,Sao Filipe,CV,14.8961,-24.4956,20.99,78,1,4.86,clear sky
140,Bud,US,39.447,-86.1758,9.82,57,0,5.38,clear sky
141,Prince Albert,CA,53.2001,-105.7677,-7.03,58,75,4.12,broken clouds
142,Dogondoutchi,NE,13.6393,4.0287,29.92,51,22,4.87,few clouds
143,Ardakan,IR,32.31,54.0175,28.93,15,100,1.66,overcast clouds
144,Camapua,BR,-19.5314,-54.0439,17.33,83,0,3.8,clear sky
145,Saskylakh,RU,71.9167,114.0833,-17.71,92,88,2.99,overcast clouds
146,Esso,RU,55.9333,158.7,-5.19,86,100,3.95,light snow
147,Vredendal,ZA,-31.6683,18.5012,15.66,59,100,2.73,overcast clouds
148,Carnarvon,AU,-24.8667,113.6333,30.04,54,99,5.66,overcast clouds
149,Zyryanka,RU,65.75,150.85,-8.29,90,100,5.1,overcast clouds
150,Tupik,RU,54.4253,119.9327,4.53,40,82,8.11,light rain
151,Fortuna,US,40.5982,-124.1573,4.25,94,0,0.0,clear sky
152,Ketchikan,US,55.3422,-131.6461,4.99,63,14,2.09,few clouds
153,Ogembo,KE,-0.7984,34.7253,24.42,49,96,2.8,overcast clouds
154,Choix,MX,26.7092,-108.3219,20.26,31,100,1.91,overcast clouds
155,Katsuura,JP,35.1333,140.3,13.01,91,100,10.84,moderate rain
156,Saint-Pierre,RE,-21.3393,55.4781,29.82,57,0,8.75,clear sky
157,Aykhal,RU,66.0,111.5,-10.11,81,100,7.4,overcast clouds
158,Oneonta,US,42.4529,-75.0638,4.61,60,3,1.57,clear sky
159,Namibe,AO,-15.1961,12.1522,23.31,74,100,2.89,overcast clouds
160,Vestmannaeyjar,IS,63.4427,-20.2734,8.19,89,52,8.31,broken clouds
161,Neosho,US,36.869,-94.368,12.23,43,100,2.24,overcast clouds
162,Omboue,GA,-1.5746,9.2618,26.47,86,99,1.02,light rain
163,Dingle,PH,10.9995,122.6711,29.49,69,100,1.97,overcast clouds
164,Hami,CN,42.8,93.45,14.53,22,37,3.17,scattered clouds
165,Paracuru,BR,-3.41,-39.0306,26.17,90,79,1.1,broken clouds
166,Lagoa,PT,39.05,-27.9833,14.92,84,100,8.58,overcast clouds
167,Ballina,AU,-28.8667,153.5667,22.1,76,40,6.69,scattered clouds
168,Mehamn,NO,71.0357,27.8492,-0.43,91,81,4.98,light snow
169,Shagonar,RU,51.5333,92.8,6.54,31,0,1.28,clear sky
170,Jiuquan,CN,39.7432,98.5174,18.68,12,20,2.88,few clouds
171,Arraial Do Cabo,BR,-22.9661,-42.0278,22.35,85,100,9.92,overcast clouds
172,Port Elizabeth,ZA,-33.918,25.5701,16.72,85,0,10.29,clear sky
173,Jacqueville,CI,5.2052,-4.4146,27.34,78,100,2.74,overcast clouds
174,Prince George,CA,53.9166,-122.753,-0.97,45,100,1.34,overcast clouds
175,Tautira,PF,-17.7333,-149.15,27.36,73,21,7.92,light rain
176,Salalah,OM,17.0151,54.0924,30.64,47,0,4.26,clear sky
177,Fuyang,CN,32.9,115.8167,18.67,40,100,5.06,overcast clouds
178,Porto Novo,BJ,6.4965,2.6036,25.9,77,100,1.86,overcast clouds
179,Visby,SE,57.6409,18.296,4.47,87,100,7.72,overcast clouds
180,Thompson,CA,55.7435,-97.8558,-12.91,61,75,6.69,broken clouds
181,Makakilo City,US,21.3469,-158.0858,23.09,66,19,8.21,few clouds
182,Bethel,US,41.3712,-73.414,12.74,53,100,3.58,overcast clouds
183,Cartagena,CO,10.3997,-75.5144,26.79,83,40,2.57,scattered clouds
184,Aswan,EG,24.0934,32.907,24.61,17,0,4.12,clear sky
185,Reconquista,AR,-29.15,-59.65,10.12,76,0,1.58,clear sky
186,Hithadhoo,MV,-0.6,73.0833,28.6,66,11,0.64,few clouds
187,Kodiak,US,57.79,-152.4072,2.71,88,100,8.13,overcast clouds
188,Khuzdar,PK,27.7384,66.6434,32.6,5,0,6.63,clear sky
189,Pangai,TO,-19.8,-174.35,29.06,70,20,5.66,few clouds
190,Broome,US,42.2506,-75.833,5.04,68,5,2.24,clear sky
191,Cockburn Town,TC,21.4612,-71.1419,25.09,79,3,11.09,clear sky
192,Ivanovka,KG,42.8878,75.085,23.96,26,0,0.78,clear sky
193,Sinnamary,GF,5.3833,-52.95,25.07,87,100,5.22,overcast clouds
194,Poum,NC,-20.2333,164.0167,24.48,86,100,6.3,overcast clouds
195,Ostrovnoy,RU,68.0531,39.5131,-4.33,87,28,4.05,scattered clouds
196,Bouca,CF,6.5105,18.2733,26.73,57,100,2.53,overcast clouds
197,Mushie,CD,-3.0167,16.9,22.84,93,100,1.38,overcast clouds
198,Svetlyy,RU,54.675,20.1347,6.03,96,100,3.37,overcast clouds
199,Nelson Bay,AU,-32.7167,152.15,22.27,71,100,2.2,overcast clouds
200,Lucea,JM,18.451,-78.1736,25.92,77,2,0.44,clear sky
201,Bonthe,SL,7.5264,-12.505,25.39,84,96,2.03,overcast clouds
202,Palafrugell,ES,41.9174,3.1631,18.48,45,100,0.89,overcast clouds
