City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Upernavik,GL,2022-04-12 16:46:40,72.7868,-56.1549,-10.53,90,100,4.59
101,Hilo,US,2022-04-12 16:46:41,19.7297,-155.09,22.93,90,75,2.57
102,Hithadhoo,MV,2022-04-12 16:46:41,-0.6,73.0833,28.95,68,10,4.98
103,Cabo San Lucas,MX,2022-04-12 16:41:45,22.8909,-109.9124,27.56,52,20,2.24
104,Butaritari,KI,2022-04-12 16:46:41,3.0707,172.7902,26.89,79,58,5.59
105,Arraial Do Cabo,BR,2022-04-12 16:46:42,-22.9661,-42.0278,28.98,69,0,7.72
106,Miandrivazo,MG,2022-04-12 16:46:42,-19.5167,45.4667,27.0,59,70,0.63
107,Riyadh,SA,2022-04-12 16:42:50,24.6877,46.7219,37.08,12,68,6.51
108,Borzoy,RU,2022-04-12 16:46:42,42.8415,45.6275,7.61,92,83,2.02
109,Palana,RU,2022-04-12 16:46:43,59.1167,159.9667,-11.1,91,100,5.3
110,Tevaitoa,PF,2022-04-12 16:46:43,-16.7833,-151.5,27.81,73,9,7.47
111,Longyearbyen,SJ,2022-04-12 16:46:43,78.2186,15.6401,-9.09,73,75,2.57
112,Faanui,PF,2022-04-12 16:46:44,-16.4833,-151.75,27.6,73,8,6.88
113,East London,ZA,2022-04-12 16:46:44,-33.0153,27.9116,19.52,88,0,0.51
114,Mar Del Plata,AR,2022-04-12 16:46:44,-38.0023,-57.5575,19.37,51,20,8.23
115,Bengkulu,ID,2022-04-12 16:46:45,-3.8004,102.2655,24.86,88,99,1.31
116,Ajdabiya,LY,2022-04-12 16:46:45,30.7554,20.2263,19.79,33,78,3.03
117,Namie,JP,2022-04-12 16:46:45,37.4833,141.0,13.08,83,50,2.01
118,Camana,PE,2022-04-12 16:46:45,-16.6228,-72.7111,21.24,74,57,4.71
119,Beidao,CN,2022-04-12 16:46:46,34.5686,105.8933,10.46,62,25,1.58
120,Klaksvik,FO,2022-04-12 16:46:46,62.2266,-6.589,5.51,88,100,10.4
121,Makokou,GA,2022-04-12 16:46:46,0.5738,12.8642,26.14,76,87,0.87
122,Jinchang,CN,2022-04-12 16:46:47,38.4953,102.1739,5.91,19,83,2.2
123,Sao Joao Da Barra,BR,2022-04-12 16:46:47,-21.6403,-41.0511,30.05,76,85,4.81
124,Sitka,US,2022-04-12 16:46:47,57.0531,-135.33,1.94,27,20,3.09
125,Touros,BR,2022-04-12 16:46:48,-5.1989,-35.4608,29.88,60,100,5.94
126,Mezen,RU,2022-04-12 16:46:48,65.8522,44.24,0.0,94,100,1.66
127,Temirtau,KZ,2022-04-12 16:46:48,50.0544,72.9483,7.36,45,100,6.9
128,Yaan,NG,2022-04-12 16:46:49,7.3833,8.5667,31.65,50,55,3.53
129,Geraldton,AU,2022-04-12 16:46:49,-28.7667,114.6,16.23,88,0,4.63
130,Nome,US,2022-04-12 16:47:49,64.5011,-165.4064,2.04,64,100,2.06
131,Lixourion,GR,2022-04-12 16:47:49,38.2019,20.4314,13.62,69,3,2.64
132,Fortuna,US,2022-04-12 16:47:50,40.5982,-124.1573,6.19,96,40,3.6
133,Ocean City,US,2022-04-12 16:45:08,39.2776,-74.5746,21.14,75,97,5.06
134,Asau,RO,2022-04-12 16:47:50,46.4333,26.4,7.75,52,94,1.35
135,Meulaboh,ID,2022-04-12 16:47:50,4.1363,96.1285,25.77,85,95,0.92
136,Samarai,PG,2022-04-12 16:47:51,-10.6167,150.6667,28.28,77,52,5.02
137,Ghanzi,BW,2022-04-12 16:47:51,-21.5667,21.7833,25.99,34,100,1.09
138,Moron,AR,2022-04-12 16:47:51,-34.6534,-58.6198,21.56,40,15,5.24
139,Khatanga,RU,2022-04-12 16:47:52,71.9667,102.5,-20.12,92,98,3.44
140,Changji,CN,2022-04-12 16:47:52,44.0167,87.3167,12.44,16,0,3.0
141,Jieshi,CN,2022-04-12 16:47:52,22.8134,115.8257,26.08,88,3,1.38
142,Saint George,US,2022-04-12 16:47:52,37.1041,-113.5841,9.79,16,0,9.77
143,Baffa,PK,2022-04-12 16:47:53,34.4378,73.2194,18.32,63,96,2.97
144,Margate,GB,2022-04-12 16:47:53,51.3813,1.3862,16.04,69,89,5.74
145,Marbella,ES,2022-04-12 16:47:53,36.5154,-4.8858,15.7,100,52,4.16
146,Springbok,ZA,2022-04-12 16:47:54,-29.6643,17.8865,21.74,31,0,0.94
147,Norman Wells,CA,2022-04-12 16:47:54,65.282,-126.8329,-17.98,55,0,2.57
148,Katsuura,JP,2022-04-12 16:47:54,35.1333,140.3,16.85,94,2,5.7
149,Oneonta,US,2022-04-12 16:43:57,42.4529,-75.0638,15.46,78,42,5.97
150,Puerto Ayora,EC,2022-04-12 16:47:55,-0.7393,-90.3518,27.98,92,66,1.79
151,Bathsheba,BB,2022-04-12 16:47:55,13.2167,-59.5167,29.34,58,20,9.26
152,Dicabisagan,PH,2022-04-12 16:47:55,17.0818,122.4157,24.29,87,76,2.36
153,Port Augusta,AU,2022-04-12 16:47:56,-32.5,137.7667,20.02,43,46,3.09
154,Morrope,PE,2022-04-12 16:47:56,-6.5417,-80.0111,23.06,60,68,6.38
155,Merrill,US,2022-04-12 16:47:56,45.1805,-89.6835,11.87,47,100,3.6
156,Byron Bay,AU,2022-04-12 16:47:56,-28.65,153.6167,18.94,86,94,4.17
157,Oyama,JP,2022-04-12 16:47:57,36.3,139.8,20.88,71,30,1.02
158,Tessalit,ML,2022-04-12 16:47:57,20.1986,1.0114,37.12,4,78,6.99
159,Kiama,AU,2022-04-12 16:47:57,-34.6833,150.8667,18.33,83,99,0.89
160,Gunjur,GM,2022-04-12 16:47:58,13.2019,-16.7339,28.04,57,0,5.66
161,Fort Nelson,CA,2022-04-12 16:45:08,58.8053,-122.7002,-12.23,61,75,5.14
162,Coquimbo,CL,2022-04-12 16:46:33,-29.9533,-71.3436,14.85,77,100,2.06
163,Saskylakh,RU,2022-04-12 16:47:59,71.9167,114.0833,-24.98,100,93,1.23
164,Arak,IR,2022-04-12 16:47:59,34.0917,49.6892,17.51,20,15,3.54
165,Dolores,AR,2022-04-12 16:47:59,-36.3132,-57.6792,21.03,30,68,7.85
166,Dunedin,NZ,2022-04-12 16:47:59,-45.8742,170.5036,11.56,70,24,2.68
167,Kushmurun,KZ,2022-04-12 16:48:00,52.4503,64.6311,7.59,71,66,4.03
168,Isangel,VU,2022-04-12 16:48:00,-19.55,169.2667,25.56,83,18,1.47
169,Otradnoye,RU,2022-04-12 16:48:00,59.7775,30.8181,6.03,93,100,1.1
170,Kavaratti,IN,2022-04-12 16:48:01,10.5669,72.642,29.37,72,100,4.05
171,Gwadar,PK,2022-04-12 16:48:01,25.1216,62.3254,27.17,69,0,5.15
172,Ribeira Grande,PT,2022-04-12 16:48:01,38.5167,-28.7,18.22,77,40,5.66
173,Atocha,BO,2022-04-12 16:48:02,-20.9333,-66.2333,12.93,10,0,13.1
174,Airai,TL,2022-04-12 16:48:02,-8.9266,125.4092,16.12,87,100,0.67
175,Nizhniy Odes,RU,2022-04-12 16:48:02,63.6445,54.856,2.2,100,100,2.71
176,Point Pedro,LK,2022-04-12 16:48:03,9.8167,80.2333,28.56,75,100,3.39
177,Kalmunai,LK,2022-04-12 16:49:03,7.4167,81.8167,26.84,86,100,4.38
178,Batticaloa,LK,2022-04-12 16:49:04,7.7102,81.6924,27.41,82,100,2.64
179,Hirara,JP,2022-04-12 16:49:04,24.8,125.2833,23.05,86,4,4.94
180,Marawi,PH,2022-04-12 16:49:04,7.9986,124.2928,20.39,92,100,1.2
181,Sinnamary,GF,2022-04-12 16:49:05,5.3833,-52.95,27.89,74,64,5.26
182,Castro,BR,2022-04-12 16:49:05,-24.7911,-50.0119,22.74,80,95,3.81
183,Ugoofaaru,MV,2022-04-12 16:49:05,5.6667,73.0,29.25,72,24,4.31
184,Bilma,NE,2022-04-12 16:49:05,18.6853,12.9164,36.75,6,3,2.98
185,Port Blair,IN,2022-04-12 16:49:06,11.6667,92.75,28.02,83,20,0.51
186,Thompson,CA,2022-04-12 16:48:49,55.7435,-97.8558,-1.91,80,100,3.6
187,Sherlovaya Gora,RU,2022-04-12 16:49:06,50.5667,116.25,-2.85,62,79,1.82
188,Atherton,GB,2022-04-12 16:49:06,53.5237,-2.4935,14.08,84,100,1.79
189,Dikson,RU,2022-04-12 16:49:07,73.5069,80.5464,-2.22,95,100,3.64
190,Tura,IN,2022-04-12 16:49:07,25.5198,90.2201,23.28,83,82,1.42
191,Christchurch,NZ,2022-04-12 16:46:35,-43.5333,172.6333,10.0,89,75,1.03
192,Bonavista,CA,2022-04-12 16:49:08,48.6499,-53.1147,0.23,95,100,14.45
193,Victoria,HK,2022-04-12 16:46:06,22.2855,114.1577,25.66,87,5,0.45
194,Taonan,CN,2022-04-12 16:49:08,45.3333,122.7833,5.48,37,56,2.98
195,Qaqortoq,GL,2022-04-12 16:49:08,60.7167,-46.0333,4.56,44,100,5.53
196,Ankazoabo,MG,2022-04-12 16:49:09,-22.2833,44.5167,24.05,49,45,3.61
197,Siniscola,IT,2022-04-12 16:49:09,40.5719,9.6922,15.75,88,100,5.63
198,Usvyaty,RU,2022-04-12 16:49:09,55.7456,30.7533,4.63,69,100,4.67
199,Mount Gambier,AU,2022-04-12 16:49:09,-37.8333,140.7667,4.95,93,40,0.0
200,Prachuap Khiri Khan,TH,2022-04-12 16:49:10,12.2167,99.75,27.6,92,62,1.86
201,Along,IN,2022-04-12 16:49:10,28.1667,94.7667,20.1,88,42,0.66
202,Batagay-Alyta,RU,2022-04-12 16:49:10,67.8006,130.4114,-17.06,97,100,1.11
203,Vila Velha,BR,2022-04-12 16:49:11,-20.3297,-40.2925,30.97,74,20,5.66
204,Fare,PF,2022-04-12 16:49:11,-16.7,-151.0167,27.75,73,2,7.41
205,Avarua,CK,2022-04-12 16:49:11,-21.2078,-159.775,24.03,100,75,1.54
206,Hovd,MN,2022-04-12 16:49:12,48.0056,91.6419,1.85,30,0,1.4
207,Meadow Lake,US,2022-04-12 16:49:12,34.8014,-106.5436,18.8,22,47,13.5
208,Novobirilyussy,RU,2022-04-12 16:49:12,56.9514,90.6661,-5.2,99,93,1.26
209,Ayan,RU,2022-04-12 16:49:13,56.45,138.1667,-5.26,89,100,2.9
210,Umm Kaddadah,SD,2022-04-12 16:49:13,13.6017,26.6876,32.19,14,4,3.14
211,Orlik,RU,2022-04-12 16:49:13,52.5178,99.825,-17.64,91,64,0.74
212,Uvinza,TZ,2022-04-12 16:49:14,-5.1036,30.3911,21.12,88,90,1.57
213,Ambilobe,MG,2022-04-12 16:49:14,-13.2,49.05,23.95,87,25,1.35
214,Havre-Saint-Pierre,CA,2022-04-12 16:49:14,50.2334,-63.5986,3.2,65,75,3.6
215,Lorengau,PG,2022-04-12 16:49:15,-2.0226,147.2712,27.01,78,28,2.72
